"kodjaz","typvaz","akrcis1","kodcis1","chodnota1","text1","akrcis2","kodcis2","chodnota2","text2"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ010","Hlavní město Praha","OKRES_LAU",109,"CZ0100","Praha"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","OKRES_LAU",109,"CZ0201","Benešov"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","OKRES_LAU",109,"CZ0202","Beroun"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","OKRES_LAU",109,"CZ0203","Kladno"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","OKRES_LAU",109,"CZ0204","Kolín"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","OKRES_LAU",109,"CZ0205","Kutná Hora"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","OKRES_LAU",109,"CZ0206","Mělník"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","OKRES_LAU",109,"CZ0207","Mladá Boleslav"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","OKRES_LAU",109,"CZ0208","Nymburk"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","OKRES_LAU",109,"CZ0209","Praha-východ"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","OKRES_LAU",109,"CZ020A","Praha-západ"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","OKRES_LAU",109,"CZ020B","Příbram"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ020","Středočeský kraj","OKRES_LAU",109,"CZ020C","Rakovník"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ031","Jihočeský kraj","OKRES_LAU",109,"CZ0311","České Budějovice"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ031","Jihočeský kraj","OKRES_LAU",109,"CZ0312","Český Krumlov"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ031","Jihočeský kraj","OKRES_LAU",109,"CZ0313","Jindřichův Hradec"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ031","Jihočeský kraj","OKRES_LAU",109,"CZ0314","Písek"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ031","Jihočeský kraj","OKRES_LAU",109,"CZ0315","Prachatice"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ031","Jihočeský kraj","OKRES_LAU",109,"CZ0316","Strakonice"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ031","Jihočeský kraj","OKRES_LAU",109,"CZ0317","Tábor"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ032","Plzeňský kraj","OKRES_LAU",109,"CZ0321","Domažlice"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ032","Plzeňský kraj","OKRES_LAU",109,"CZ0322","Klatovy"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ032","Plzeňský kraj","OKRES_LAU",109,"CZ0323","Plzeň-město"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ032","Plzeňský kraj","OKRES_LAU",109,"CZ0324","Plzeň-jih"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ032","Plzeňský kraj","OKRES_LAU",109,"CZ0325","Plzeň-sever"
"CS","Hierarchie číselníků","NUTS3-2004",108,"CZ032","Plzeňský kraj","OKRES_LAU",109,"CZ0326","Rokycany"
