,Okres,Kraj,OborPece,PocetPoskytovatelu
0,Benešov,Středočeský kraj,"Adiktolog, sexuologie, návykové nemoci, psychiatrie",1
1,Benešov,Středočeský kraj,Dentální hygienistka,7
2,Benešov,Středočeský kraj,"Dentální hygienistka, ortodoncie",1
3,Benešov,Středočeský kraj,"Dentální hygienistka, ortodoncie, orální a maxilofaciální chirurgie, zubní lékařství, zubní lékařství",1
4,Benešov,Středočeský kraj,"Dentální hygienistka, zubní lékařství",3
5,Benešov,Středočeský kraj,"Dentální hygienistka, zubní lékařství, zubní lékařství",2
6,Benešov,Středočeský kraj,Fyzioterapeut,12
7,Benešov,Středočeský kraj,"Fyzioterapeut, Ergoterapeut",1
8,Benešov,Středočeský kraj,"Fyzioterapeut, Fyzioterapeut",3
9,Benešov,Středočeský kraj,"Fyzioterapeut, Fyzioterapeut, Klinický logoped, Klinický logoped, Klinický psycholog, Klinický psycholog, Ergoterapeut, Ergoterapeut, rehabilitační a fyzikální medicína",1
10,Benešov,Středočeský kraj,"Fyzioterapeut, Fyzioterapeut, Všeobecná sestra, paliativní medicína, paliativní medicína",1
11,Benešov,Středočeský kraj,"Fyzioterapeut, Klinický psycholog",1
12,Benešov,Středočeský kraj,"Fyzioterapeut, Všeobecná sestra, Všeobecná sestra",1
13,Benešov,Středočeský kraj,"Fyzioterapeut, Všeobecná sestra, všeobecné praktické lékařství, kardiologie",1
14,Benešov,Středočeský kraj,Klinický logoped,10
15,Benešov,Středočeský kraj,Klinický psycholog,6
16,Benešov,Středočeský kraj,"Klinický psycholog, Všeobecná sestra, Všeobecná sestra, paliativní medicína, algeziologie",1
17,Benešov,Středočeský kraj,Optometrista,3
18,Benešov,Středočeský kraj,Porodní asistentka,1
19,Benešov,Středočeský kraj,"Sestra pro intenzivní péči, Všeobecná sestra",1
20,Benešov,Středočeský kraj,"Sestra pro péči v psychiatrii, psychiatrie",1
21,Benešov,Středočeský kraj,Všeobecná sestra,4
22,Benešov,Středočeský kraj,"Všeobecná sestra, Všeobecná sestra",2
23,Benešov,Středočeský kraj,Zubní technik,16
24,Benešov,Středočeský kraj,"Zubní technik, zubní lékařství",1
25,Benešov,Středočeský kraj,"Zubní technik, zubní lékařství, zubní lékařství",1
26,Benešov,Středočeský kraj,alergologie a klinická imunologie,3
27,Benešov,Středočeský kraj,anesteziologie a intenzivní medicína,2
28,Benešov,Středočeský kraj,chirurgie,5
29,Benešov,Středočeský kraj,"chirurgie, dermatovenerologie",1
30,Benešov,Středočeský kraj,dermatovenerologie,2
31,Benešov,Středočeský kraj,dětská a dorostová psychiatrie,1
32,Benešov,Středočeský kraj,"dětská kardiologie, praktické lékárenství, všeobecné praktické lékařství, vnitřní lékařství, neurologie, kardiologie, chirurgie, endokrinologie a diabetologie, cévní chirurgie",1
33,Benešov,Středočeský kraj,endokrinologie a diabetologie,1
34,Benešov,Středočeský kraj,"foniatrie, otorinolaryngologie a chirurgie hlavy a krku",1
35,Benešov,Středočeský kraj,gynekologie a porodnictví,14
36,Benešov,Středočeský kraj,"gynekologie a porodnictví, gynekologie a porodnictví",1
37,Benešov,Středočeský kraj,hygiena a epidemiologie,1
38,Benešov,Středočeský kraj,kardiologie,1
39,Benešov,Středočeský kraj,klinická biochemie,2
40,Benešov,Středočeský kraj,nefrologie,1
41,Benešov,Středočeský kraj,neurologie,1
42,Benešov,Středočeský kraj,oftalmologie,7
43,Benešov,Středočeský kraj,"ortodoncie, zubní lékařství",2
44,Benešov,Středočeský kraj,ortopedie a traumatologie pohybového ústrojí,4
45,Benešov,Středočeský kraj,"ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí",1
46,Benešov,Středočeský kraj,otorinolaryngologie a chirurgie hlavy a krku,4
47,Benešov,Středočeský kraj,"paliativní medicína, anesteziologie a intenzivní medicína",1
48,Benešov,Středočeský kraj,pediatrie,1
49,Benešov,Středočeský kraj,"pediatrie, gynekologie dětí a dospívajících, Fyzioterapeut, Klinický logoped, Nutriční terapeut, paliativní medicína, neonatologie, foniatrie, praktické lékárenství, klinická farmacie, všeobecné praktické lékařství, vnitřní lékařství, vnitřní lékařství, vnitřní lékařství, urologie, urologie, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, rehabilitační a fyzikální medicína, radiologie a zobrazovací metody, pneumologie a ftizeologie, pneumologie a ftizeologie, patologie, otorinolaryngologie a chirurgie hlavy a krku, otorinolaryngologie a chirurgie hlavy a krku, otorinolaryngologie a chirurgie hlavy a krku, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, ortopedie a traumatologie pohybového ústrojí, oftalmologie, neurologie, neurologie, lékařská mikrobiologie, klinická onkologie, klinická biochemie, kardiologie, chirurgie, chirurgie, chirurgie, hematologie a transfúzní lékařství, gynekologie a porodnictví, gynekologie a porodnictví, gynekologie a porodnictví, gastroenterologie, endokrinologie a diabetologie, dětské lékařství, dětské lékařství, cévní chirurgie, anesteziologie a intenzivní medicína, anesteziologie a intenzivní medicína",1
50,Benešov,Středočeský kraj,"pediatrie, praktické lékařství pro děti a dorost",1
51,Benešov,Středočeský kraj,pneumologie a ftizeologie,1
52,Benešov,Středočeský kraj,"pneumologie a ftizeologie, pneumologie a ftizeologie",1
53,Benešov,Středočeský kraj,praktické lékařství pro děti a dorost,24
54,Benešov,Středočeský kraj,"praktické lékařství pro děti a dorost, dermatovenerologie",1
55,Benešov,Středočeský kraj,praktické lékárenství,21
56,Benešov,Středočeský kraj,psychiatrie,2
57,Benešov,Středočeský kraj,radiologie a zobrazovací metody,2
58,Benešov,Středočeský kraj,"radiologie a zobrazovací metody, chirurgie",1
59,Benešov,Středočeský kraj,rehabilitační a fyzikální medicína,2
60,Benešov,Středočeský kraj,"rehabilitační a fyzikální medicína, neurologie",2
61,Benešov,Středočeský kraj,urologie,4
62,Benešov,Středočeský kraj,vnitřní lékařství,4
63,Benešov,Středočeský kraj,"vnitřní lékařství, alergologie a klinická imunologie",1
64,Benešov,Středočeský kraj,"vnitřní lékařství, endokrinologie a diabetologie",2
65,Benešov,Středočeský kraj,"vnitřní lékařství, gastroenterologie",1
66,Benešov,Středočeský kraj,"vnitřní lékařství, kardiologie, endokrinologie a diabetologie",1
67,Benešov,Středočeský kraj,"vnitřní lékařství, kardiologie, gastroenterologie, endokrinologie a diabetologie",1
68,Benešov,Středočeský kraj,"vnitřní lékařství, klinická onkologie",1
69,Benešov,Středočeský kraj,"vnitřní lékařství, revmatologie",1
70,Benešov,Středočeský kraj,všeobecné praktické lékařství,42
71,Benešov,Středočeský kraj,"všeobecné praktické lékařství, dermatovenerologie",1
72,Benešov,Středočeský kraj,"všeobecné praktické lékařství, otorinolaryngologie a chirurgie hlavy a krku",1
73,Benešov,Středočeský kraj,"všeobecné praktické lékařství, praktické lékařství pro děti a dorost",1
74,Benešov,Středočeský kraj,"všeobecné praktické lékařství, psychiatrie, praktické lékařství pro děti a dorost, lékařská genetika, alergologie a klinická imunologie",1
75,Benešov,Středočeský kraj,"všeobecné praktické lékařství, vnitřní lékařství",15
76,Benešov,Středočeský kraj,zubní lékařství,16
77,Benešov,Středočeský kraj,"zubní lékařství, zubní lékařství",22
78,Beroun,Středočeský kraj,Adiktolog,1
79,Beroun,Středočeský kraj,Dentální hygienistka,3
80,Beroun,Středočeský kraj,Fyzioterapeut,10
81,Beroun,Středočeský kraj,"Fyzioterapeut, Fyzioterapeut",6
82,Beroun,Středočeský kraj,"Fyzioterapeut, algeziologie",1
83,Beroun,Středočeský kraj,Klinický logoped,4
84,Beroun,Středočeský kraj,"Klinický logoped, foniatrie, otorinolaryngologie a chirurgie hlavy a krku",1
